% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
322 +2.118443728e-03 +2.118443728e-03 -2.524788156e+01 -2.524788156e+01 +3.5815e+00 +6.0306e-01
350 +1.291474777e-03 +1.291474777e-03 -2.524870853e+01 -2.524870853e+01 +3.5970e+00 +6.0377e-01
379 +5.341605027e-05 +5.341605027e-05 -2.524994658e+01 -2.524994658e+01 +3.6133e+00 +6.2797e-01
412 +6.171800976e-06 +6.171800976e-06 -2.524999383e+01 -2.524999383e+01 +3.6155e+00 +6.3741e-01
611 +2.885313997e-06 +2.885313997e-06 -2.524999711e+01 -2.524999711e+01 +3.6128e+00 +6.3460e-01
694 +3.495187748e-07 +3.495187748e-07 -2.524999965e+01 -2.524999965e+01 +3.6139e+00 +6.3483e-01
715 +2.037652429e-07 +2.037652429e-07 -2.524999980e+01 -2.524999980e+01 +3.6140e+00 +6.3502e-01
809 +1.037097555e-07 +1.037097555e-07 -2.524999990e+01 -2.524999990e+01 +3.6141e+00 +6.3508e-01
826 +8.035158316e-09 +8.035158316e-09 -2.524999999e+01 -2.524999999e+01 +3.6144e+00 +6.3529e-01
% function evaluation | noise-free fitness - Fopt (-2.017200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.667860372e+01 +2.667860372e+01 -1.750413963e+02 -1.750413963e+02 +3.4019e+00 -1.0562e+00
5 +1.251241578e+01 +1.251241578e+01 -1.892075842e+02 -1.892075842e+02 -2.2223e+00 +5.3970e-01
7 +9.243935591e+00 +9.243935591e+00 -1.924760644e+02 -1.924760644e+02 -1.3522e+00 +1.3401e-01
14 +6.216973106e+00 +6.216973106e+00 -1.955030269e+02 -1.955030269e+02 -3.7021e+00 -3.9119e+00
23 +2.602019158e+00 +2.602019158e+00 -1.991179808e+02 -1.991179808e+02 -2.1669e+00 -1.4754e+00
52 +1.840026680e+00 +1.840026680e+00 -1.998799733e+02 -1.998799733e+02 -2.5853e+00 -2.2100e+00
61 +9.726022585e-01 +9.726022585e-01 -2.007473977e+02 -2.007473977e+02 -2.0238e+00 -2.1253e+00
101 +3.309180023e-01 +3.309180023e-01 -2.013890820e+02 -2.013890820e+02 -1.1750e+00 -2.3855e+00
125 +1.115978318e-01 +1.115978318e-01 -2.016084022e+02 -2.016084022e+02 -1.6900e+00 -3.1035e+00
138 +5.792422972e-02 +5.792422972e-02 -2.016620758e+02 -2.016620758e+02 -1.3603e+00 -3.1385e+00
226 +5.277633689e-03 +5.277633689e-03 -2.017147224e+02 -2.017147224e+02 -1.4279e+00 -2.9779e+00
288 +3.881280634e-03 +3.881280634e-03 -2.017161187e+02 -2.017161187e+02 -1.3834e+00 -2.9554e+00
315 +6.866447249e-04 +6.866447249e-04 -2.017193134e+02 -2.017193134e+02 -1.4078e+00 -2.8829e+00
384 +2.966918221e-04 +2.966918221e-04 -2.017197033e+02 -2.017197033e+02 -1.4189e+00 -2.8885e+00
421 +3.008571809e-07 +3.008571809e-07 -2.017199997e+02 -2.017199997e+02 -1.4204e+00 -2.9060e+00
708 +2.327298887e-07 +2.327298887e-07 -2.017199998e+02 -2.017199998e+02 -1.4213e+00 -2.9056e+00
765 +8.681269037e-09 +8.681269037e-09 -2.017200000e+02 -2.017200000e+02 -1.4208e+00 -2.9057e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.375028933e+01 +1.375028933e+01 -9.862497107e+02 -9.862497107e+02 +3.4019e+00 -1.0562e+00
4 +8.491523017e+00 +8.491523017e+00 -9.915084770e+02 -9.915084770e+02 -1.6478e+00 +2.6823e+00
5 +4.700124726e+00 +4.700124726e+00 -9.952998753e+02 -9.952998753e+02 -2.2223e+00 +5.3970e-01
6 +1.147373546e+00 +1.147373546e+00 -9.988526265e+02 -9.988526265e+02 -2.2603e-01 +1.2887e+00
52 +4.286664027e-01 +4.286664027e-01 -9.995713336e+02 -9.995713336e+02 -6.4450e-01 +5.5416e-01
61 +1.688545235e-01 +1.688545235e-01 -9.998311455e+02 -9.998311455e+02 -8.3021e-02 +6.3887e-01
64 +4.372310964e-02 +4.372310964e-02 -9.999562769e+02 -9.999562769e+02 -1.5391e-01 +4.2236e-01
105 +2.105988281e-02 +2.105988281e-02 -9.999789401e+02 -9.999789401e+02 -1.8377e-01 +3.2607e-01
252 +4.959175596e-03 +4.959175596e-03 -9.999950408e+02 -9.999950408e+02 -8.4175e-02 +1.5797e-01
306 +2.810983035e-03 +2.810983035e-03 -9.999971890e+02 -9.999971890e+02 -1.2469e-01 +2.0524e-01
321 +1.242852680e-03 +1.242852680e-03 -9.999987571e+02 -9.999987571e+02 -5.6265e-02 +1.9934e-01
366 +2.575102262e-04 +2.575102262e-04 -9.999997425e+02 -9.999997425e+02 -6.6198e-02 +2.4005e-01
458 +7.339592571e-06 +7.339592571e-06 -9.999999927e+02 -9.999999927e+02 -7.8839e-02 +2.2978e-01
574 +5.455553037e-06 +5.455553037e-06 -9.999999945e+02 -9.999999945e+02 -7.5195e-02 +2.2630e-01
609 +3.213146897e-06 +3.213146897e-06 -9.999999968e+02 -9.999999968e+02 -7.8047e-02 +2.2671e-01
633 +1.393332809e-06 +1.393332809e-06 -9.999999986e+02 -9.999999986e+02 -7.7835e-02 +2.2743e-01
675 +4.214354021e-07 +4.214354021e-07 -9.999999996e+02 -9.999999996e+02 -7.7117e-02 +2.2857e-01
771 +2.302432449e-07 +2.302432449e-07 -9.999999998e+02 -9.999999998e+02 -7.6336e-02 +2.2812e-01
777 +1.317971510e-08 +1.317971510e-08 -1.000000000e+03 -1.000000000e+03 -7.6875e-02 +2.2809e-01
942 +9.741938811e-09 +9.741938811e-09 -1.000000000e+03 -1.000000000e+03 -7.6849e-02 +2.2809e-01
% function evaluation | noise-free fitness - Fopt (-4.290000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.272535135e+01 +1.272535135e+01 -3.017464865e+01 -3.017464865e+01 +3.4019e+00 -1.0562e+00
2 +3.497523761e-01 +3.497523761e-01 -4.255024762e+01 -4.255024762e+01 +2.8310e+00 +2.9844e+00
52 +7.997537490e-02 +7.997537490e-02 -4.282002463e+01 -4.282002463e+01 +2.4125e+00 +2.2499e+00
115 +2.342740523e-02 +2.342740523e-02 -4.287657259e+01 -4.287657259e+01 +2.5712e+00 +2.5673e+00
219 +1.396552817e-02 +1.396552817e-02 -4.288603447e+01 -4.288603447e+01 +2.7007e+00 +2.3305e+00
225 +8.709691902e-03 +8.709691902e-03 -4.289129031e+01 -4.289129031e+01 +2.7261e+00 +2.4301e+00
292 +3.519639584e-03 +3.519639584e-03 -4.289648036e+01 -4.289648036e+01 +2.6228e+00 +2.4857e+00
308 +1.881898009e-03 +1.881898009e-03 -4.289811810e+01 -4.289811810e+01 +2.6027e+00 +2.3959e+00
324 +1.505736535e-03 +1.505736535e-03 -4.289849426e+01 -4.289849426e+01 +2.5982e+00 +2.4447e+00
331 +7.066906188e-04 +7.066906188e-04 -4.289929331e+01 -4.289929331e+01 +2.6571e+00 +2.4164e+00
357 +2.556118862e-04 +2.556118862e-04 -4.289974439e+01 -4.289974439e+01 +2.6281e+00 +2.4425e+00
454 +1.907937907e-06 +1.907937907e-06 -4.289999809e+01 -4.289999809e+01 +2.6316e+00 +2.4265e+00
651 +8.718715065e-07 +8.718715065e-07 -4.289999913e+01 -4.289999913e+01 +2.6334e+00 +2.4279e+00
737 +6.114792583e-07 +6.114792583e-07 -4.289999939e+01 -4.289999939e+01 +2.6334e+00 +2.4277e+00
743 +4.222841454e-08 +4.222841454e-08 -4.289999996e+01 -4.289999996e+01 +2.6328e+00 +2.4274e+00
810 +2.813251854e-09 +2.813251854e-09 -4.290000000e+01 -4.290000000e+01 +2.6328e+00 +2.4272e+00
% function evaluation | noise-free fitness - Fopt (-1.013200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.743383502e+01 +1.743383502e+01 -8.388616498e+01 -8.388616498e+01 +3.4019e+00 -1.0562e+00
2 +1.338924825e+00 +1.338924825e+00 -9.998107517e+01 -9.998107517e+01 +2.8310e+00 +2.9844e+00
